id,product_name,price,reviews_count,avg_rate,brand
437,LC Waikiki Crew Neck Short Sleeve Printed Cotton Baby Girl T-Shirt,EGP 65.00,1 verified rating,4/5,LC Waikiki
438,Juhayna Juhayna 0% Fat Milk – 1 L,EGP 20.00,5 verified ratings,4.8/5,Juhayna
439,Bundle Of (12) Basic Socks - High Quality,EGP 64.00,15 verified ratings,3.5/5,(15 verified ratings)
440,"Water Bottle My Bottle For School ,Clubs And Gym 500 Ml 1 Pcs",EGP 79.99,18 verified ratings,3.7/5,(18 verified ratings)
441,Desert Men Minimalist Lace-up White Flat Sneakers,EGP 299.00,2 verified ratings,4/5,Desert
442,Activ Full Blue Backpacks With A Front Pocket,EGP 169.00,1 verified rating,5/5,Activ
443,Al Wedad Two Piece Of Warmer Set With Padded Inside - Yellow,EGP 69.00 - EGP 140.00,154 verified ratings,4.4/5,Al Wedad
444,Nileton Sportswear - Sport Leggings Pants With Pocket - High Stretch,EGP 195.00,18 verified ratings,4.3/5,Nileton
445,Emami Kesh King Anti-Hair Fall Shampoo - 200 Ml,EGP 96.99,1500 verified ratings,4.3/5,Emami
446,Leather Cross Bag - HAVAN,EGP 169.00,81 verified ratings,4.3/5,(81 verified ratings)
447,Karimed Keraview Keratin Shampoo With Jojoba Oil For Greasy Hair 350ml,EGP 45.00,12 verified ratings,4.3/5,Karimed
448,Star Pasta Rice - 400g,EGP 7.00,47 verified ratings,4.4/5,Star
449,Regina Pasta Spaghetti - 400g,EGP 11.00,219 verified ratings,4.5/5,Regina
450,American Eagle AE Pique Polo Shirt,EGP 275.00,,,American Eagle
451,Karimed SNOW SHINE Micellar Water4Pcs. Makeup Remover Rose 100ML,EGP 156.00,11 verified ratings,4.7/5,Karimed
452,"American Eagle Eagle 6"" Classic Boxer Brief",EGP 125.00,88 verified ratings,4.2/5,American Eagle
453,Servet Sneakers Comfort Sport Shoes For Women - Black - Made In Turkey,EGP 285.00,13 verified ratings,4.4/5,Servet
454,Defacto Woman White T-shirt,EGP 160.00,2 verified ratings,5/5,Defacto
455,Mero Flower Honey 380g +Sugarcane Molasses Syrup 380g,EGP 29.75,6 verified ratings,3.7/5,Mero
456,Tornado TH-C12YEE Cooling Only Split Air Conditioner - 1.5hp,"EGP 6,999.00",2 verified ratings,3/5,Tornado
457,Tornado THB-600M Electric Hand Blender - 600 W,EGP 755.00,11 verified ratings,4.4/5,Tornado
458,Socks - Set Of (12) Ankle Socks - For Kids,EGP 69.00,48 verified ratings,3.6/5,(48 verified ratings)
459,Mesery Bundle OF (4) - No Show Cotton Panties,EGP 59.00,49 verified ratings,3.7/5,Mesery
460,Desert Fashion / Sportive Canvas Slip On Sneakers - Grey,EGP 259.00,16 verified ratings,3.7/5,Desert
461,Embrator Bundle Of Three 100% Pure Cotton Solid Sleeveless - White,EGP 129.99 - EGP 130.00,256 verified ratings,4.4/5,Embrator
462,Ho Holland Men's Polo Shirt - Multi Color,EGP 195.00,140 verified ratings,4.2/5,Ho Holland
463,"Pampers Pants with lotion with Olive Oil Size 6, 24 diapers, 16+ kg",EGP 80.00,10 verified ratings,4.7/5,Pampers
464,Dettol Original Soap Bar – 165gm – 4 PCS,EGP 49.87,14 verified ratings,4.8/5,Dettol
465,Lipton Chamomile leaves Tea Bags - 20 Bags,EGP 14.25,239 verified ratings,4.4/5,Lipton
466,Durex Fetherlite Ultra Condoms - 10 Pcs,EGP 136.00,185 verified ratings,4.5/5,Durex
467,"NIVEA Micellar Water Makeup Remover, All Skin Types - 400ml",EGP 112.00,47 verified ratings,4.5/5,NIVEA
468,Star Fusilli Pasta - 1kg,EGP 17.00,115 verified ratings,4.3/5,Star
469,Karimed GOLDEN STRAND Integrated Shampoo + Conditioner Free Sulfate 400ML,EGP 91.00,92 verified ratings,4.2/5,Karimed
470,Magic Detangling Hair Brush,EGP 44.00,1266 verified ratings,3.9/5,(1266 verified ratings)
471,Wet Baby Sensitive Wipes Aloe Vera With Cap - Vitamin E – 72 Wipes,EGP 17.00,5 verified ratings,4.6/5,(5 verified ratings)
472,AM-Shop Set Of (12) Socks - For Kids,EGP 69.00,72 verified ratings,3.9/5,AM-Shop
473,American Eagle Polo Shirt,EGP 325.00,218 verified ratings,4.7/5,American Eagle
474,NIVEA Soft Freshies Refreshing & Moisturizing Cream - Berry Blossom - 100ml,EGP 27.95,772 verified ratings,4.5/5,NIVEA
475,Activ Bi-Toned Navy Blue & Burgundy Backpack,EGP 169.00,3 verified ratings,4/5,Activ
476,Eyelash Curler To Lift Eyelashes Up,EGP 19.99,49 verified ratings,3.9/5,(49 verified ratings)
477,Steviadiet Diet Sugar Jar - 300 Gm,EGP 80.00,43 verified ratings,3.9/5,(43 verified ratings)
478,Al Wedad Two Piece Of Warmer Set With Padded Inside - Pink,EGP 69.00 - EGP 140.00,173 verified ratings,4.5/5,Al Wedad
479,White Comfortable Sneaker,EGP 179.00,113 verified ratings,3.9/5,(113 verified ratings)
480,Me Now Pro Lash Doubling Mascara - 10 Ml,EGP 49.00,194 verified ratings,4.2/5,Me Now Pro
481,"Outdoor Distinctive Adult Cap , Summer Hat - Black",EGP 47.00,130 verified ratings,3.8/5,(130 verified ratings)
482,Karimed GOLDEN STRAND Integrated Free Sulfate Shampoo 400ML,EGP 119.00,594 verified ratings,4.1/5,Karimed
483,Sokany Coffee Blender And Hand Mixer USB Charging - White,EGP 175.00,,,Sokany
484,Stainless Steel Auto Rotating Whisk,EGP 24.24,466 verified ratings,4.1/5,(466 verified ratings)
485,Crystal White Vegetable Ghee - 1.5 Kg,EGP 71.55,12 verified ratings,4.8/5,Crystal
486,Mesery Bundle Of Three Long Slim Legging - Black,EGP 199.99,199 verified ratings,4.3/5,Mesery
487,Karimed SNOW SHINE Free Sulfate Face Wash Gel Sensitive Skin 150ML Plus Micellar Water 100ml,EGP 104.00,12 verified ratings,4.9/5,Karimed
488,Imtenan Egyptian Mountain Honey - 1 Kg,EGP 690.00,,,Imtenan
489,Mesery Bundle Of Three Solid Slip On Underwear,EGP 79.00,247 verified ratings,4.3/5,Mesery
490,"Harpic Harpic Original Toilet Cleaner, 100% Limescale Remover, 450ml",EGP 25.45,48 verified ratings,4.7/5,Harpic
491,Emami Kesh King Shampoo Anti-Hair Fall Milk Protein - 21 Herbs - 340ml,EGP 165.00,74 verified ratings,4.4/5,Emami
492,VGR VGR- V-030-Rechargeable Hair Shaver + Gift Bag From Dukan Alaa,EGP 165.00,657 verified ratings,4.2/5,VGR
493,Celebrat Stereo Sound Earphone Celebrat G 6- Color -black,EGP 49.00,98 verified ratings,4.4/5,Celebrat
494,Anti-lost Car Keychain Phone Number Card Keyring Leather Braided Phone Number Plate Key Ring,EGP 130.00,97 verified ratings,3.9/5,(97 verified ratings)
495,Lama Black- Elastic Legged Pants,EGP 110.00 - EGP 125.00,379 verified ratings,3.9/5,Lama
496,Vaseline Body Gel Oil Cocoa Radiant Body Oil 200ml,EGP 275.00,404 verified ratings,4.5/5,Vaseline
497,"Dolive Shower Gel, Body Wash, 2000 Ml, Candy Fruit",EGP 70.00,23 verified ratings,4.2/5,Dolive
498,ATA ATA 32HON - 32-inch HD TV,"EGP 2,115.00",63 verified ratings,4.3/5,ATA
499,White Gentle Baby Wipes - 20 Tissue,EGP 9.95,62 verified ratings,4.6/5,White
500,Double Face Adhesive Tape - Clear,EGP 24.99 - EGP 49.99,140 verified ratings,4.1/5,(140 verified ratings)
501,Luna Strawberry Special Lip Moisturizer - 3.5 GM,EGP 14.00,167 verified ratings,4.5/5,Luna
502,Wendy Wet Wipes Rose Scent With Cap – 120 Wipes,EGP 19.00,9 verified ratings,4.9/5,(9 verified ratings)
503,Dettol Antiseptic Liquid Cleaner - 235 ML,EGP 36.00,30 verified ratings,4.3/5,Dettol
504,Bow Pants For School - Sweatpants Kids Cotton100%,EGP 375.00,3 verified ratings,4.7/5,Bow
505,Fresh Electric Kettle - 1.7L-Black,EGP 311.00,1462 verified ratings,4.4/5,Fresh
506,Frida Hands liquid Hand wash Wild berries 520 gm economy,EGP 39.95,11 verified ratings,4.8/5,Frida
507,"Smart Scent Car Freshener, Smart Scent, Strawberry Mini Paper",EGP 10.00,9 verified ratings,4.9/5,Smart Scent
508,Chefy Mix Far Eastern Seasoning - 90g,EGP 14.50,114 verified ratings,4.6/5,Chefy Mix
509,Embrator Bundle Of Six Printed Boxer - For Men,EGP 239.99,367 verified ratings,4.1/5,Embrator
510,Sokany Hot Air Comb Multi Functional And Versatile Styling Comb,EGP 335.00,1 verified rating,5/5,Sokany
511,Staedtler Fiber-tip Colored pens - 12 pens,EGP 35.00,82 verified ratings,4.5/5,Staedtler
512,"Dolive Shower Gel, Body Wash, 2000 Ml, Raspberry",EGP 70.00,17 verified ratings,4/5,Dolive
513,Dettol MAC Antibacterial Disinfectant 3xPower Floor Cleaner - lemon Scent - 1.3Litre,EGP 54.00,4 verified ratings,4/5,Dettol
514,Lipton Mint Green Tea - 25 Bags,EGP 14.95,85 verified ratings,4.5/5,Lipton
515,Karimed Brilliant Touch Hand Wash 3 Pcs. With Moisturizer 500ML,EGP 64.90,7 verified ratings,3.9/5,Karimed
516,Dermatique Maquillage Concealer+Blender Warm Light 10ml,EGP 160.00,128 verified ratings,4.2/5,Dermatique
517,Servet Sneakers Comfort Sport Shoes For Women - Black - Servet El Turkey,EGP 285.00,6 verified ratings,4/5,Servet
518,American Eagle Training Jogger,EGP 350.00,,,American Eagle
519,Izor Mandarin Collar Pique Polo Shirt - Maroon,EGP 119.00 - EGP 139.00,478 verified ratings,4/5,Izor
520,Funny Bunny - Set Of (3) Printed Pants - For NewBorn,EGP 106.00 - EGP 119.00,99 verified ratings,4.4/5,Funny Bunny
521,Dice Bundle Of Five Men Boxers,EGP 239.00,110 verified ratings,3.8/5,Dice
522,Funny Bunny - (3) Basic Sleeves Snap Closure Bodysuit - New Born,EGP 135.00 - EGP 149.00,121 verified ratings,4.6/5,Funny Bunny
523,Me Now Pro Matte Liquid Sweatproof Liquid Dip Eyeliner - 5.5g - Black,EGP 49.00,174 verified ratings,4.2/5,Me Now Pro
524,Malika Bundle OF Six Panties - For Girls,EGP 99.00,65 verified ratings,4.3/5,Malika
525,HM Collection We Together - EDT - For Women - 30 ML,EGP 35.20,13 verified ratings,4.5/5,HM Collection
526,Girls Fruits Earrings - Safe And Metal Free - 4 Pairs,EGP 39.99,6 verified ratings,3.2/5,(6 verified ratings)
527,Malika Bundle OF Six Printed Underwear - For Women,EGP 129.00,346 verified ratings,4/5,Malika
528,Knorr Cream Of Vegetabl Soup – 70 Gm,EGP 7.00,111 verified ratings,4.4/5,Knorr
529,Defacto Woman Pink Short Sleeve T-Shirt,EGP 80.00,1 verified rating,4/5,Defacto
530,Penduline Shower Gel For Babies - 450Ml,EGP 60.99,54 verified ratings,4.8/5,Penduline
531,Bundle Of (15) Women Ankle Socks For Women,EGP 55.00,471 verified ratings,3.7/5,(471 verified ratings)
532,Fern Pure Natural Butter Ghee - 700g,EGP 141.00,186 verified ratings,4.6/5,Fern
533,Cadbury Dairy Milk Bubbly Oreo Chocolate Bar - 43gm -12 Packs,EGP 101.45,20 verified ratings,4.7/5,Cadbury
534,Nescafe Classic Instant Coffee Jar - 50gm,EGP 32.85,57 verified ratings,4.6/5,Nescafe
535,TUT Basic Black Sweatshirt Boys Round Solid Cotton Milton Long Sleeve Kids,EGP 195.40 - EGP 275.40,,,TUT
536,Star Ethyl Alcohol 70 % - 1 Liter,EGP 29.00,18 verified ratings,4/5,Star
537,Socks - Set Of (12) Ankle Socks - For Kids,EGP 69.00,3 verified ratings,1.7/5,(3 verified ratings)
538,AL Asil Sunflower Oil - 1.5 Liter.,EGP 63.00,234 verified ratings,4.6/5,AL Asil
539,Finish Dishwasher Detergent Powder Lemon Scent - 1kg - 2 Pcs + 1 Free,EGP 220.00,135 verified ratings,4.6/5,Finish
540,Harvest Tomato paste – 320g,EGP 14.25,449 verified ratings,4.4/5,Harvest
541,Imtenan Cough Aid - 18 Sachet,EGP 18.00,10 verified ratings,4.5/5,Imtenan
542,Almarai Apple Juice - 235ml,EGP 6.00,2 verified ratings,3.5/5,Almarai
543,Durex Performax Intense - 3 Pcs,EGP 47.04,357 verified ratings,4.3/5,Durex
544,Woman Slippers - Black,EGP 49.00 - EGP 77.00,65 verified ratings,4.2/5,(65 verified ratings)
545,Mesery Bretelle Short Dress Cotton Thin Strap - RED,EGP 99.99,73 verified ratings,4.5/5,Mesery
546,Desert Sportive Lace-Up Sneakers For Men - BLACK,EGP 259.00,5 verified ratings,4.4/5,Desert
547,Johnson's Body Care Moisturizing Cream All Skin Types – 170g,EGP 21.00,187 verified ratings,4.6/5,Johnson's
548,Dermatique Maquillage Concealer+blender Neutral Medium 10ml,EGP 160.00,95 verified ratings,4.3/5,Dermatique
549,Glue Gun + 10 Pcs / Hot Melt Glue Stick + Azwaaa Bag,EGP 85.00,21 verified ratings,4/5,(21 verified ratings)
550,Hero Strawberry Jam - 28.3g,EGP 5.00,12 verified ratings,3.9/5,Hero
551,Kemei Km-6558 3 In 1 Electric Hair Clipper - Black,EGP 137.40,1290 verified ratings,4.2/5,Kemei
552,Cleopatra Conditioner Cream With Shea Butter - 700ml,EGP 48.00,211 verified ratings,4.2/5,Cleopatra
553,Defacto Man White Short Sleeve Shirt,EGP 159.00,6 verified ratings,4.5/5,Defacto
554,Izor Mandarin Collar T-Shirt - Grey,EGP 119.00 - EGP 139.00,683 verified ratings,4.2/5,Izor
555,Pretty Woman Waterproof Eyeliner 1ml - Black,EGP 39.00,5 verified ratings,4.6/5,Pretty Woman
556,Rimmel Scandal Eyes Waterproof Kohl Kajal - 005 Nude,EGP 85.00,544 verified ratings,4.4/5,Rimmel
557,LC Waikiki Crew Neck Short Sleeve Printed Cotton Baby Girl T-Shirt And Shorts 2-Pack Set,EGP 100.00,,,LC Waikiki
558,American Eagle AE Distressed Oxford Button-Up Shirt,EGP 350.00,,,American Eagle
559,Mesery Bundle Of Three Full Coverage Non-wired Cross Back Sportive Bra,EGP 109.99,261 verified ratings,3.9/5,Mesery
560,Iconix 32GB MICRO SE-9 USB 2.0 Flash Drive - Metal,EGP 75.00,36 verified ratings,4.8/5,Iconix
561,"Cute And Attractive Design Of A School Pencil Case For Girls, A Make-up Bag And A Money Purse.",EGP 39.99,2 verified ratings,5/5,(2 verified ratings)
562,Women's Handbag Snake Skin 32021 Black,EGP 195.00,23 verified ratings,4.7/5,(23 verified ratings)
563,"Pampers Pants with lotion with Olive Oil Size 4, 60 diapers, 9-14 kg",EGP 191.04,29 verified ratings,4.5/5,Pampers
564,Temmys Corn Flakes – 1000gm,EGP 81.95,231 verified ratings,4.7/5,Temmys
565,OneHand Casual Polo T-Shirt - Blue,EGP 139.00 - EGP 169.00,88 verified ratings,3.9/5,OneHand
566,L'Oreal Paris Elvive Extraordinary Oil For All Hair Types - 100ml,EGP 165.00,1 verified rating,1/5,L'Oreal Paris
567,Golon 608-Classic Mini Electric Radio- Black + Free Mobile Holder Wood,EGP 210.00,76 verified ratings,4.4/5,Golon
568,Sunsilk Natural Recharge Anti-Breakage Oil Replacement Hair Cream With Coconut - 300 Ml,EGP 34.95,72 verified ratings,4.5/5,Sunsilk
569,St Ives Renewing Moisturizer With Collagen & Elasten - 283g,EGP 175.00,180 verified ratings,4.6/5,St Ives
570,Mesery Bundle OF Six Brief Smooth Cotton Hipster Panties.,EGP 139.99,905 verified ratings,4.3/5,Mesery
571,Ballerina Leather BN-9 - Black,EGP 79.00 - EGP 129.00,55 verified ratings,4.5/5,(55 verified ratings)
572,Braun Silk Epil 5 5/500 Senso Smart Epilator With 1 Extras - Raspberry,EGP 999.00,17 verified ratings,4.7/5,Braun
573,Nokia 5310 - 2.4-inch Dual Sim Mobile Phone - Black/Red,EGP 885.00,68 verified ratings,4.6/5,Nokia
574,Fairy Ultra Lemon 420 2 LE,EGP 21.00,7 verified ratings,4.4/5,Fairy
575,TUT Basic Black Sweatshirt Boys Round Solid Cotton Milton Long Sleeve Kids,EGP 195.40 - EGP 275.40,,,TUT
and Cookie notice
499,Izor Mandarin Collar Pique Polo Shirt - Maroon,EGP 119.00 - EGP 139.00,478 verified ratings,4/5,Privacy and Cookie notice
500,American Eagle Training Jogger,EGP 350.00,,,Privacy and Cookie notice
501,Staedtler Fiber-tip Colored pens - 12 pens,EGP 35.00,82 verified ratings,4.5/5,Privacy and Cookie notice
502,Anti-lost Car Keychain Phone Number Card Keyring Leather Braided Phone Number Plate Key Ring,EGP 130.00,97 verified ratings,3.9/5,Privacy and Cookie notice
503,Mesery Bundle Of Three Solid Slip On Underwear,EGP 79.00,247 verified ratings,4.3/5,Privacy and Cookie notice
504,Imtenan Egyptian Mountain Honey - 1 Kg,EGP 690.00,,,Privacy and Cookie notice
505,Dermatique Maquillage Concealer+Blender Warm Light 10ml,EGP 160.00,128 verified ratings,4.2/5,Privacy and Cookie notice
506,Double Face Adhesive Tape - Clear,EGP 24.99 - EGP 49.99,140 verified ratings,4.1/5,Privacy and Cookie notice
507,Dettol Antiseptic Liquid Cleaner - 235 ML,EGP 36.00,30 verified ratings,4.3/5,Privacy and Cookie notice
508,Mesery Bundle Of Three Long Slim Legging - Black,EGP 199.99,199 verified ratings,4.3/5,Privacy and Cookie notice
509,Chefy Mix Far Eastern Seasoning - 90g,EGP 14.50,114 verified ratings,4.6/5,Privacy and Cookie notice
510,Frida Hands liquid Hand wash Wild berries 520 gm economy,EGP 39.95,11 verified ratings,4.8/5,Privacy and Cookie notice
511,Fresh Electric Kettle - 1.7L-Black,EGP 311.00,1462 verified ratings,4.4/5,Privacy and Cookie notice
512,"Smart Scent Car Freshener, Smart Scent, Strawberry Mini Paper",EGP 10.00,9 verified ratings,4.9/5,Privacy and Cookie notice
513,Karimed SNOW SHINE Free Sulfate Face Wash Gel Sensitive Skin 150ML Plus Micellar Water 100ml,EGP 104.00,12 verified ratings,4.9/5,Privacy and Cookie notice
514,Karimed Brilliant Touch Hand Wash 3 Pcs. With Moisturizer 500ML,EGP 64.90,7 verified ratings,3.9/5,Privacy and Cookie notice
515,VGR VGR- V-030-Rechargeable Hair Shaver + Gift Bag From Dukan Alaa,EGP 165.00,657 verified ratings,4.2/5,Privacy and Cookie notice
516,Vaseline Body Gel Oil Cocoa Radiant Body Oil 200ml,EGP 275.00,404 verified ratings,4.5/5,Privacy and Cookie notice
517,Stainless Steel Auto Rotating Whisk,EGP 24.24,466 verified ratings,4.1/5,Privacy and Cookie notice
518,Dettol MAC Antibacterial Disinfectant 3xPower Floor Cleaner - lemon Scent - 1.3Litre,EGP 54.00,4 verified ratings,4/5,Privacy and Cookie notice
519,Embrator Bundle Of Six Printed Boxer - For Men,EGP 239.99,367 verified ratings,4.1/5,Privacy and Cookie notice
520,Sokany Coffee Blender And Hand Mixer USB Charging - White,EGP 175.00,,,Privacy and Cookie notice
521,Dice Bundle Of Five Men Boxers,EGP 239.00,110 verified ratings,3.8/5,Privacy and Cookie notice
522,Desert Sportive Lace-Up Sneakers For Men - BLACK,EGP 259.00,5 verified ratings,4.4/5,Privacy and Cookie notice
523,Nescafe Classic Instant Coffee Jar - 50gm,EGP 32.85,57 verified ratings,4.6/5,Privacy and Cookie notice
524,HM Collection We Together - EDT - For Women - 30 ML,EGP 35.20,13 verified ratings,4.5/5,Privacy and Cookie notice
525,Izor Mandarin Collar T-Shirt - Grey,EGP 119.00 - EGP 139.00,683 verified ratings,4.2/5,Privacy and Cookie notice
526,Mesery Bretelle Short Dress Cotton Thin Strap - RED,EGP 99.99,73 verified ratings,4.5/5,Privacy and Cookie notice
527,AL Asil Sunflower Oil - 1.5 Liter.,EGP 63.00,234 verified ratings,4.6/5,Privacy and Cookie notice
528,Woman Slippers - Black,EGP 49.00 - EGP 77.00,65 verified ratings,4.2/5,Privacy and Cookie notice
529,Girls Fruits Earrings - Safe And Metal Free - 4 Pairs,EGP 39.99,6 verified ratings,3.2/5,Privacy and Cookie notice
530,American Eagle AE Distressed Oxford Button-Up Shirt,EGP 350.00,,,Privacy and Cookie notice
531,Malika Bundle OF Six Panties - For Girls,EGP 99.00,65 verified ratings,4.3/5,Privacy and Cookie notice
532,Star Ethyl Alcohol 70 % - 1 Liter,EGP 29.00,18 verified ratings,4/5,Privacy and Cookie notice
533,Johnson's Body Care Moisturizing Cream All Skin Types – 170g,EGP 21.00,187 verified ratings,4.6/5,Privacy and Cookie notice
534,Defacto Man White Short Sleeve Shirt,EGP 159.00,6 verified ratings,4.5/5,Privacy and Cookie notice
535,Pretty Woman Waterproof Eyeliner 1ml - Black,EGP 39.00,5 verified ratings,4.6/5,Privacy and Cookie notice
536,Cleopatra Conditioner Cream With Shea Butter - 700ml,EGP 48.00,211 verified ratings,4.2/5,Privacy and Cookie notice
537,Penduline Shower Gel For Babies - 450Ml,EGP 60.99,54 verified ratings,4.8/5,Privacy and Cookie notice
538,Funny Bunny - (3) Basic Sleeves Snap Closure Bodysuit - New Born,EGP 135.00 - EGP 149.00,121 verified ratings,4.6/5,Privacy and Cookie notice
539,Defacto Woman Pink Short Sleeve T-Shirt,EGP 80.00,1 verified rating,4/5,Privacy and Cookie notice
540,LC Waikiki Crew Neck Short Sleeve Printed Cotton Baby Girl T-Shirt And Shorts 2-Pack Set,EGP 100.00,,,Privacy and Cookie notice
541,Cadbury Dairy Milk Bubbly Oreo Chocolate Bar - 43gm -12 Packs,EGP 101.45,20 verified ratings,4.7/5,Privacy and Cookie notice
542,Malika Bundle OF Six Printed Underwear - For Women,EGP 129.00,346 verified ratings,4/5,Privacy and Cookie notice
543,Bundle Of (15) Women Ankle Socks For Women,EGP 55.00,471 verified ratings,3.7/5,Privacy and Cookie notice
544,Dermatique Maquillage Concealer+blender Neutral Medium 10ml,EGP 160.00,95 verified ratings,4.3/5,Privacy and Cookie notice
545,Mesery Bundle Of Three Full Coverage Non-wired Cross Back Sportive Bra,EGP 109.99,261 verified ratings,3.9/5,Privacy and Cookie notice
546,Kemei Km-6558 3 In 1 Electric Hair Clipper - Black,EGP 137.40,1290 verified ratings,4.2/5,Privacy and Cookie notice
547,Rimmel Scandal Eyes Waterproof Kohl Kajal - 005 Nude,EGP 85.00,544 verified ratings,4.4/5,Privacy and Cookie notice
548,Iconix 32GB MICRO SE-9 USB 2.0 Flash Drive - Metal,EGP 75.00,36 verified ratings,4.8/5,Privacy and Cookie notice
549,Fern Pure Natural Butter Ghee - 700g,EGP 141.00,186 verified ratings,4.6/5,Privacy and Cookie notice
550,Socks - Set Of (12) Ankle Socks - For Kids,EGP 69.00,3 verified ratings,1.7/5,Privacy and Cookie notice
551,Hero Strawberry Jam - 28.3g,EGP 5.00,12 verified ratings,3.9/5,Privacy and Cookie notice
552,Women Sock Sneakers 0022,EGP 169.00,1 verified rating,4/5,Privacy and Cookie notice
553,Glue Gun + 10 Pcs / Hot Melt Glue Stick + Azwaaa Bag,EGP 85.00,21 verified ratings,4/5,Privacy and Cookie notice
554,Imtenan Cough Aid - 18 Sachet,EGP 18.00,10 verified ratings,4.5/5,Privacy and Cookie notice
555,Almarai Apple Juice - 235ml,EGP 6.00,2 verified ratings,3.5/5,Privacy and Cookie notice
556,Knorr Cream Of Vegetabl Soup – 70 Gm,EGP 7.00,111 verified ratings,4.4/5,Privacy and Cookie notice
557,Finish Dishwasher Detergent Powder Lemon Scent - 1kg - 2 Pcs + 1 Free,EGP 220.00,135 verified ratings,4.6/5,Privacy and Cookie notice
558,Harvest Tomato paste – 320g,EGP 14.25,449 verified ratings,4.4/5,Privacy and Cookie notice
559,Me Now Pro Matte Liquid Sweatproof Liquid Dip Eyeliner - 5.5g - Black,EGP 49.00,174 verified ratings,4.2/5,Privacy and Cookie notice
560,Durex Performax Intense - 3 Pcs,EGP 47.04,357 verified ratings,4.3/5,Privacy and Cookie notice
561,XIAOMI VXN4305GL Redmi Power Bank - 10000mAh - Black,EGP 284.00,,,Privacy and Cookie notice
562,L'Oreal Paris Elvive Extraordinary Oil For All Hair Types - 100ml,EGP 165.00,1 verified rating,1/5,Privacy and Cookie notice
563,Mesery Bundle OF (12) Brief Smooth Cotton Hipster Panties.,EGP 249.99,1929 verified ratings,4.3/5,Privacy and Cookie notice
564,Pledge Spray Furniture Cleaner - 300 ml,EGP 29.90,5 verified ratings,5/5,Privacy and Cookie notice
565,Golon 608-Classic Mini Electric Radio- Black + Free Mobile Holder Wood,EGP 210.00,76 verified ratings,4.4/5,Privacy and Cookie notice
566,Nokia 150 (2020) - 2.4-inch Dual SIM Mobile Phone -,EGP 555.00,,,Privacy and Cookie notice
567,Finish Classic Powder Dishwasher Detergent – 1Kg - 2+1 Pack,EGP 284.45,594 verified ratings,4.6/5,Privacy and Cookie notice
568,Desert Basic Lace-up Sneakers For Women - White / Mauve,EGP 259.00,3 verified ratings,4.3/5,Privacy and Cookie notice
569,"Pampers Pants with lotion with Olive Oil Size 4, 60 diapers, 9-14 kg",EGP 191.04,29 verified ratings,4.5/5,Privacy and Cookie notice
